gene_id,Pact19_S118_R1.gtf,Pact20_S119_R1.gtf,Pact21_S120_R1.gtf,Pact29_S121_R1.gtf,Pact30_S122_R1.gtf,Pact31_S123_R1.gtf,Pact39_S124_R1.gtf,Pact40_S125_R1.gtf,Pact41_S126_R1.gtf,Pact49_S127_R1.gtf,Pact50_S128_R1.gtf,Pact51_S129_R1.gtf,Pact59_S130_R1.gtf,Pact60_S131_R1.gtf,Pact66_S132_R1.gtf,Pact67_S133_R1.gtf,Pact68_S134_R1.gtf,Pact69_S135_R1.gtf
STRG.6991,44,26,26,42,29,31,29,43,29,56,42,36,36,35,46,42,34,43
STRG.6990,24,9,8,9,13,8,8,14,11,11,14,10,9,11,12,17,13,5
STRG.6997,51,39,42,49,50,43,30,40,52,41,39,42,39,34,38,38,45,22
Pocillopora_acuta_HIv1_PredGene_g15514.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRG.6995,4,0,2,3,3,0,0,3,4,2,3,0,0,0,0,2,0,0
STRG.6994,8,0,11,6,0,9,8,9,13,0,10,0,6,11,10,6,8,5
Pocillopora_acuta_HIv1_PredGene_22629_t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g32230.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRG.301,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0
STRG.300,2,0,0,1,2,1,2,1,0,3,2,2,0,0,0,1,0,0
STRG.303,2,0,5,11,0,5,0,0,0,0,0,0,11,0,0,0,7,0
STRG.302,96,113,96,98,83,111,82,60,134,115,87,78,149,80,134,139,154,110
STRG.305,4,0,2,0,2,0,0,0,0,1,3,0,0,0,0,1,0,0
STRG.304,85,54,50,40,45,69,23,42,39,30,29,22,41,34,23,27,26,18
STRG.307,26,66,40,44,0,68,24,29,0,44,0,33,73,48,70,81,72,52
STRG.306,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
STRG.309,138,74,76,94,97,101,93,87,78,67,69,60,113,71,67,86,92,79
STRG.308,9,11,18,9,11,11,8,9,6,4,10,5,9,5,1,4,1,10
Pocillopora_acuta_HIv1_PredGene_g17988.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Pocillopora_acuta_HIv1_PredGene_g2927.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g28914.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g27806.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g6299.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_18370_t,0,0,0,12,0,0,0,0,0,0,0,0,10,0,6,0,0,0
Pocillopora_acuta_HIv1_PredGene_g6299.t2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g16100.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g22692.t1,0,0,0,1,0,5,0,2,0,0,0,0,0,0,1,0,2,0
Pocillopora_acuta_HIv1_PredGene_g3482.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRG.10221,58,32,54,54,48,31,48,63,34,65,67,21,52,28,39,37,49,45
STRG.10220,33,18,18,32,16,16,20,21,19,25,31,9,16,18,11,0,15,13
STRG.10223,176,126,165,156,180,154,115,147,139,155,128,119,143,139,114,117,132,87
STRG.10222,15,8,12,0,11,9,13,0,0,8,8,6,9,8,14,6,8,0
STRG.10225,539,398,350,327,414,433,532,407,481,487,397,339,445,345,338,375,453,364
STRG.10224,26,10,30,13,21,14,16,8,25,15,23,11,12,10,12,8,13,5
STRG.10227,51,29,50,36,57,51,53,57,63,57,70,44,31,26,22,31,31,28
Pocillopora_acuta_HIv1_PredGene_g21494.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRG.10229,26,8,13,8,25,9,14,21,26,12,24,15,15,13,27,15,14,15
STRG.10228,55,38,33,26,39,44,27,39,43,32,26,25,40,23,35,30,35,19
Pocillopora_acuta_HIv1_PredGene_g27391.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g10629.t1,0,0,0,0,4,1,0,0,0,3,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g6503.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g7895.t1,0,0,1,3,3,1,2,1,3,4,2,1,2,1,1,2,1,1
Pocillopora_acuta_HIv1_PredGene_g12647.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Pocillopora_acuta_HIv1_PredGene_g17818.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_10349_t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g16539.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRG.3459,212,238,196,297,180,261,184,189,182,237,151,155,210,147,174,176,162,107
STRG.3458,10,14,0,10,10,10,0,4,0,0,8,5,4,7,6,0,18,6
Pocillopora_acuta_HIv1_PredGene_g6501.t1,0,3,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
STRG.3451,2,0,0,0,2,0,0,2,4,0,0,0,0,0,0,0,0,0
STRG.3450,12,7,0,9,20,0,10,12,11,15,0,0,15,6,7,0,16,0
Pocillopora_acuta_HIv1_PredGene_g17799.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRG.3452,4,4,0,0,3,3,0,4,0,0,0,0,0,0,0,0,0,0
STRG.3455,2,2,0,0,1,0,0,1,2,0,0,3,0,0,2,1,2,0
Pocillopora_acuta_HIv1_PredGene_g23591.t1,0,0,0,0,4,0,4,3,6,6,8,5,5,6,0,0,9,0
Pocillopora_acuta_HIv1_PredGene_g17575.t1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_22720_t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g13829.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g16690.t1,0,0,51,67,63,60,54,50,74,73,59,54,57,40,58,44,63,44
Pocillopora_acuta_HIv1_PredGene_g28320.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRG.7707,15,18,0,17,9,18,17,15,21,15,11,18,0,18,16,15,14,16
STRG.8978,11,0,6,0,0,0,0,7,10,21,0,0,0,0,0,0,13,2
STRG.5679,28,11,22,22,0,28,22,0,0,21,0,22,27,23,24,18,22,20
STRG.8977,13,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_8275_t,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g946.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Pocillopora_acuta_HIv1_PredGene_g29157.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g10142.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_15105_t,0,0,0,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g18473.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRG.9534,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
STRG.9535,960,1087,958,1303,883,1294,889,919,1007,1295,847,796,1441,924,926,852,1201,767
Pocillopora_acuta_HIv1_PredGene_g3652.t1,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0
STRG.8973,2,0,0,0,0,2,0,0,3,1,0,2,2,0,2,0,0,0
STRG.4434,2,0,0,0,0,0,2,0,3,2,0,0,0,0,3,0,0,0
Pocillopora_acuta_HIv1_PredGene_g4649.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g5330.t1,0,0,4,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0
STRG.9537,9,0,6,10,0,0,9,6,13,8,0,0,10,8,0,8,10,3
STRG.9530,6,0,0,0,14,10,0,0,8,0,12,0,13,14,9,10,8,5
Pocillopora_acuta_HIv1_PredGene_g15910.t1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0
Pocillopora_acuta_HIv1_PredGene_g25112.t1,0,0,16,12,7,13,0,8,0,6,0,9,9,0,0,0,5,0
Pocillopora_acuta_HIv1_PredGene_g27923.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g10140.t1,0,0,1,2,2,3,2,2,4,4,3,0,0,0,0,1,0,0
Pocillopora_acuta_HIv1_PredGene_g24847.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g23555.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g23222.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRG.7226,8,8,12,5,4,5,19,6,10,5,8,9,9,0,0,7,11,0
STRG.7227,293,210,186,195,187,268,174,169,201,162,164,162,224,151,238,231,251,228
STRG.7224,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0
STRG.3012,3,12,7,14,4,18,5,4,6,8,4,8,10,5,7,10,15,6
STRG.7222,42,19,28,18,28,22,19,24,23,24,18,14,17,13,14,26,17,23
STRG.7223,23,25,17,35,41,43,17,26,30,0,0,26,34,32,34,33,50,21
STRG.7220,2,18,0,33,0,62,0,0,6,0,0,0,14,6,45,23,26,13
STRG.7221,2,1,2,1,0,2,0,0,0,0,0,0,1,0,0,1,0,0
STRG.7228,32,32,33,36,35,34,24,24,30,22,34,19,42,18,43,26,32,20
STRG.7229,1,0,2,0,0,0,0,0,0,0,3,0,5,0,0,4,3,0
Pocillopora_acuta_HIv1_PredGene_g3309.t1,0,0,3,6,0,11,4,8,0,8,0,0,14,5,0,0,0,2
Pocillopora_acuta_HIv1_PredGene_g1506.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g6139.t2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g13048.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
Pocillopora_acuta_HIv1_PredGene_g31015.t1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Pocillopora_acuta_HIv1_PredGene_g1896.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g25283.t1,0,0,0,0,2,0,0,0,0,4,3,4,2,3,0,6,3,3
Pocillopora_acuta_HIv1_PredGene_g32244.t1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0
Pocillopora_acuta_HIv1_PredGene_g22690.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g24147.t1,0,0,0,0,0,0,0,3,6,4,0,6,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g28534.t1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g3710.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g18471.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g735.t1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,5,0,0
Pocillopora_acuta_HIv1_PredGene_g11989.t1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g22417.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_11517_t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g7122.t1,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,2,0,0
STRG.6255,3,5,1,4,3,2,4,4,0,7,2,4,10,3,7,6,5,4
Pocillopora_acuta_HIv1_PredGene_g27921.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g19561.t1,0,0,0,0,2,0,5,0,2,3,3,5,7,1,2,5,2,3
Pocillopora_acuta_HIv1_PredGene_16274_t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRG.6251,1,0,2,2,1,2,1,2,1,1,1,1,1,1,0,1,1,0
Pocillopora_acuta_HIv1_PredGene_g10254.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g27653.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g24624.t2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g24624.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g29756.t1,0,31,44,34,27,59,24,16,35,35,26,36,0,40,104,54,89,51
STRG.6179,2,5,6,2,0,0,0,3,4,8,4,0,0,0,0,4,6,0
STRG.6178,13,0,11,0,16,6,13,14,9,15,0,9,8,6,0,0,12,0
STRG.6171,86,49,55,43,42,38,63,58,53,66,61,44,37,47,85,58,67,50
STRG.6170,74,21,26,17,0,0,24,0,45,30,37,39,0,36,18,37,45,0
STRG.6173,28,13,26,0,33,9,33,32,32,17,17,0,29,20,14,14,0,0
STRG.6172,5,1,3,1,6,0,2,1,4,2,1,3,0,3,9,1,2,3
Pocillopora_acuta_HIv1_PredGene_g14947.t1,0,0,0,2,0,0,0,2,0,0,0,4,2,0,0,0,0,0
STRG.6174,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,7,0,7
STRG.6177,3,0,0,0,0,0,0,4,3,0,0,4,0,4,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g10366.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_4075_t,0,0,0,0,0,0,4,0,3,4,0,0,0,0,6,0,0,0
Pocillopora_acuta_HIv1_PredGene_156_t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g32246.t1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g16334.t1,0,11,0,18,18,23,0,16,16,0,15,0,13,11,15,13,23,0
Pocillopora_acuta_HIv1_PredGene_g14945.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g25129.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g10364.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g26786.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g16751.t1,0,6,6,8,6,0,7,7,4,0,4,14,13,0,4,11,7,0
Pocillopora_acuta_HIv1_PredGene_g3484.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g23849.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRG.1702,4,0,0,3,5,7,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g21147.t1,0,3,0,0,1,0,0,0,4,0,2,0,0,2,1,3,4,0
STRG.1700,3,3,4,2,3,2,1,2,1,3,3,2,2,2,4,3,2,2
Pocillopora_acuta_HIv1_PredGene_g32525.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRG.11246,2,0,1,2,4,3,2,2,5,2,4,2,2,2,2,1,5,2
Pocillopora_acuta_HIv1_PredGene_g29754.t1,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,8,0,2
Pocillopora_acuta_HIv1_PredGene_g11664.t1,0,7,9,15,12,15,0,10,10,17,15,9,0,12,0,13,15,7
Pocillopora_acuta_HIv1_PredGene_9516_t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g7603.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g22611.t1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g17161.t1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g33186.t2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g27364.t1,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1
Pocillopora_acuta_HIv1_PredGene_201_t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g32909.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g15617.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g944.t1,0,0,7,6,7,0,3,6,0,5,7,10,5,5,7,4,12,5
Pocillopora_acuta_HIv1_PredGene_g24174.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g25166.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g6616.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g3733.t1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g16828.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g18942.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g7018.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g20192.t1,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g12391.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g10899.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g32527.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_22162_t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g25837.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g10773.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g4348.t1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Pocillopora_acuta_HIv1_PredGene_g18940.t1,0,0,0,0,0,0,0,0,7,8,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g7227.t1,0,3,0,11,11,20,0,12,16,9,0,11,11,14,7,0,8,0
Pocillopora_acuta_HIv1_PredGene_g4126.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g15939.t1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g17163.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g27366.t1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g29903.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g3948.t2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g17305.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_3204_t,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g23890.t1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g10429.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g20812.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g6990.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g6614.t1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2
Pocillopora_acuta_HIv1_PredGene_g6284.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_15666_t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_23291_t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_15976_t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g23450.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_29265_t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g30005.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g14420.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g29246.t2,0,2,0,0,4,0,0,0,3,4,6,9,0,3,6,0,5,4
Pocillopora_acuta_HIv1_PredGene_g31827.t1,0,15,0,22,24,0,11,16,18,13,21,27,12,8,11,0,19,0
Pocillopora_acuta_HIv1_PredGene_g14420.t2,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,2,2,3
Pocillopora_acuta_HIv1_PredGene_g2076.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g30311.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g20810.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_24624_t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g4325.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g4124.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g8481.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_31981_t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g7681.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g20770.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g14422.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g13774.t2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g13774.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g22832.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g678.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g11812.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g1567.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g8003.t1,0,0,0,4,2,5,0,0,4,4,4,0,0,0,0,3,0,0
Pocillopora_acuta_HIv1_PredGene_g29488.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g33603.t2,0,0,0,5,0,0,0,0,0,0,0,6,0,0,0,8,0,0
Pocillopora_acuta_HIv1_PredGene_g27821.t1,0,0,0,0,0,0,4,0,4,0,0,3,0,5,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_7033_t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g16131.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g29455.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g22830.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g12302.t2,0,4,0,6,0,22,0,0,0,4,0,0,4,3,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g16361.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g19266.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g4327.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g32335.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g31317.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g15546.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
